ds,total_bookings,cancellations,revenue,avg_adr,avg_lead_time,avg_stay,avg_special_req,missing_rate,fulfilled_bookings,occupancy_rate,cancellation_rate,revpar,day_of_week,month,year,is_weekend
2019-01-01,13,2,7326.25,118.11,75.15,5.92,1.08,0.0,11,0.0917,0.1538,10.83,1,1,2019,0
2019-01-02,17,7,4831.59,107.7,67.59,4.47,0.76,0.0,10,0.0833,0.4118,8.97,2,1,2019,0
2019-01-03,14,3,6667.02,118.12,63.71,6.0,0.71,0.0,11,0.0917,0.2143,10.83,3,1,2019,0
2019-01-04,16,4,6723.29,126.03,81.38,5.19,0.75,0.0,12,0.1,0.25,12.6,4,1,2019,0
2019-01-05,12,4,4898.57,101.66,75.58,5.92,1.0,0.0,8,0.0667,0.3333,6.78,5,1,2019,1
2019-01-06,14,4,5460.28,117.34,101.64,4.29,0.79,0.0,10,0.0833,0.2857,9.77,6,1,2019,1
2019-01-07,8,2,4024.49,102.85,23.62,7.38,0.88,0.0,6,0.05,0.25,5.14,0,1,2019,0
2019-01-08,18,3,7093.23,101.87,94.28,5.22,0.67,0.0,15,0.125,0.1667,12.73,1,1,2019,0
2019-01-09,17,3,13661.3,113.61,75.47,8.0,0.94,0.0,14,0.1167,0.1765,13.26,2,1,2019,0
2019-01-10,13,5,6978.4400000000005,105.43,89.23,7.62,0.54,0.0,8,0.0667,0.3846,7.03,3,1,2019,0
2019-01-11,8,2,5955.54,124.52,46.12,6.88,0.5,0.0,6,0.05,0.25,6.23,4,1,2019,0
2019-01-12,9,3,4539.889999999999,138.81,41.22,5.67,1.0,0.0,6,0.05,0.3333,6.94,5,1,2019,1
2019-01-13,18,6,10693.12,180.22,69.17,5.56,0.78,0.0,12,0.1,0.3333,18.02,6,1,2019,1
2019-01-14,15,5,7988.51,106.78,42.53,6.27,0.47,0.0,10,0.0833,0.3333,8.89,0,1,2019,0
2019-01-15,18,4,10762.85,125.67,79.61,6.0,0.61,0.0,14,0.1167,0.2222,14.67,1,1,2019,0
2019-01-16,14,4,6842.72,108.05,81.5,6.07,1.14,0.0,10,0.0833,0.2857,9.0,2,1,2019,0
2019-01-17,13,5,4438.02,116.09,59.69,6.0,1.23,0.0,8,0.0667,0.3846,7.74,3,1,2019,0
2019-01-18,16,8,4805.83,124.25,84.31,5.94,0.38,0.0,8,0.0667,0.5,8.29,4,1,2019,0
2019-01-19,22,5,13341.75,129.17,56.41,6.18,0.86,0.0,17,0.1417,0.2273,18.3,5,1,2019,1
2019-01-20,19,4,10105.73,107.56,76.21,6.16,0.37,0.0,15,0.125,0.2105,13.44,6,1,2019,1
2019-01-21,7,5,651.9000000000001,102.58,56.57,6.0,0.43,0.0,2,0.0167,0.7143,1.71,0,1,2019,0
2019-01-22,26,5,11696.0,102.48,57.88,6.69,1.38,0.0,21,0.175,0.1923,17.93,1,1,2019,0
2019-01-23,14,3,7748.17,107.56,74.0,6.57,0.93,0.0,11,0.0917,0.2143,9.86,2,1,2019,0
2019-01-24,17,2,11976.95,119.8,57.24,7.06,1.12,0.0,15,0.125,0.1176,14.98,3,1,2019,0
2019-01-25,20,7,10789.51,116.44,57.75,6.75,0.45,0.0,13,0.1083,0.35,12.61,4,1,2019,0
2019-01-26,14,3,7911.29,115.77,34.07,6.29,0.79,0.0,11,0.0917,0.2143,10.62,5,1,2019,1
2019-01-27,24,8,12849.27,122.92,70.0,6.54,0.79,0.0,16,0.1333,0.3333,16.39,6,1,2019,1
2019-01-28,19,6,11812.48,123.6,89.53,8.21,0.79,0.0,13,0.1083,0.3158,13.39,0,1,2019,0
2019-01-29,18,3,11000.98,99.91,59.5,7.28,0.78,0.0,15,0.125,0.1667,12.49,1,1,2019,0
2019-01-30,14,5,5008.15,111.18,173.79,5.71,0.86,0.0,9,0.075,0.3571,8.34,2,1,2019,0
2019-01-31,20,4,11975.32,133.93,55.95,5.5,0.85,0.0,16,0.1333,0.2,17.85,3,1,2019,0
2019-02-01,11,3,5370.67,122.83,138.45,5.73,1.0,0.0,8,0.0667,0.2727,8.19,4,2,2019,0
2019-02-02,9,3,4623.87,127.1,132.44,6.44,0.33,0.0,6,0.05,0.3333,6.36,5,2,2019,1
2019-02-03,10,2,5426.030000000001,123.65,71.3,6.3,0.7,0.0,8,0.0667,0.2,8.25,6,2,2019,1
2019-02-04,12,5,6994.93,126.38,68.58,8.5,0.25,0.0,7,0.0583,0.4167,7.37,0,2,2019,0
2019-02-05,4,2,1651.6399999999999,100.22,34.25,6.5,1.0,0.0,2,0.0167,0.5,1.67,1,2,2019,0
2019-02-06,8,3,2636.99,118.08,67.88,5.25,1.38,0.0,5,0.0417,0.375,4.92,2,2,2019,0
2019-02-07,16,5,11858.210000000001,130.75,67.88,6.69,0.81,0.0,11,0.0917,0.3125,11.99,3,2,2019,0
2019-02-08,8,2,5443.79,123.69,224.12,6.75,1.38,0.0,6,0.05,0.25,6.18,4,2,2019,0
2019-02-09,14,0,9232.11,102.83,261.21,6.5,0.93,0.0,14,0.1167,0.0,12.0,5,2,2019,1
2019-02-10,10,3,4403.84,123.09,160.5,5.1,0.9,0.0,7,0.0583,0.3,7.18,6,2,2019,1
2019-02-11,13,4,4037.71,103.22,68.08,5.0,0.46,0.0,9,0.075,0.3077,7.74,0,2,2019,0
2019-02-12,9,3,4779.34,108.8,86.56,8.22,1.33,0.0,6,0.05,0.3333,5.44,1,2,2019,0
2019-02-13,8,5,1049.38,91.74,84.12,5.38,0.62,0.0,3,0.025,0.625,2.29,2,2,2019,0
2019-02-14,16,6,8359.67,110.15,162.94,7.0,0.31,0.0,10,0.0833,0.375,9.18,3,2,2019,0
2019-02-15,11,4,10940.67,218.21,71.91,6.73,1.64,0.0,7,0.0583,0.3636,12.72,4,2,2019,0
2019-02-16,7,3,3631.35,125.53,73.71,8.43,1.14,0.0,4,0.0333,0.4286,4.18,5,2,2019,1
2019-02-17,13,4,6430.63,126.3,82.31,5.31,0.69,0.0,9,0.075,0.3077,9.47,6,2,2019,1
2019-02-18,3,1,2497.04,139.61,64.0,9.67,0.33,0.0,2,0.0167,0.3333,2.33,0,2,2019,0
2019-02-19,14,4,9388.01,103.77,70.93,7.5,0.57,0.0,10,0.0833,0.2857,8.64,1,2,2019,0
2019-02-20,8,1,7501.85,125.69,35.5,7.88,1.25,0.0,7,0.0583,0.125,7.33,2,2,2019,0
2019-02-21,12,2,6182.23,101.08,60.08,6.75,1.17,0.0,10,0.0833,0.1667,8.42,3,2,2019,0
2019-02-22,7,2,5384.13,113.19,46.14,8.71,0.71,0.0,5,0.0417,0.2857,4.72,4,2,2019,0
2019-02-23,8,3,3407.1400000000003,119.71,82.0,5.5,1.12,0.0,5,0.0417,0.375,4.99,5,2,2019,1
2019-02-24,7,1,5635.3,139.48,29.86,6.71,0.57,0.0,6,0.05,0.1429,6.97,6,2,2019,1
2019-02-25,6,2,4656.85,116.68,56.17,7.17,0.83,0.0,4,0.0333,0.3333,3.89,0,2,2019,0
2019-02-26,8,3,3766.67,116.38,96.25,6.25,2.5,0.0,5,0.0417,0.375,4.85,1,2,2019,0
2019-02-27,6,3,2661.27,104.5,175.0,6.5,0.67,0.0,3,0.025,0.5,2.61,2,2,2019,0
2019-02-28,16,3,8973.07,108.65,45.06,6.62,1.06,0.0,13,0.1083,0.1875,11.77,3,2,2019,0
2019-03-01,9,1,7020.13,106.95,39.67,6.67,0.56,0.0,8,0.0667,0.1111,7.13,4,3,2019,0
2019-03-02,5,0,3927.0,132.68,70.8,6.2,1.2,0.0,5,0.0417,0.0,5.53,5,3,2019,1
2019-03-03,11,5,5334.8,127.91,76.91,6.64,0.55,0.0,6,0.05,0.4545,6.4,6,3,2019,1
