ds,temperature_c,precipitation_mm,local_events,holiday_flag,competitor_adr,cpi_yoy,consumer_confidence,search_trend
2019-01-01,12.8,2.5,0,1,116.43,0.64,97.4,39.3
2019-01-02,11.4,22.7,1,0,95.1,1.17,96.9,35.6
2019-01-03,16.2,11.8,0,0,124.61,1.08,95.9,47.7
2019-01-04,9.9,17.5,0,0,103.04,1.08,93.0,36.2
2019-01-05,13.3,9.3,0,0,91.15,1.33,96.5,53.0
2019-01-06,12.1,3.5,0,0,119.82,0.58,98.2,46.2
2019-01-07,11.9,48.3,0,0,98.64,0.26,94.7,42.9
2019-01-08,14.0,2.6,0,0,106.51,0.92,95.9,43.3
2019-01-09,9.8,4.9,0,0,113.79,1.22,89.8,32.4
2019-01-10,11.1,29.9,0,0,87.08,0.39,97.2,36.2
2019-01-11,12.4,1.8,0,0,135.66,1.01,95.4,43.4
2019-01-12,15.2,0.2,0,0,119.01,0.95,100.0,42.6
2019-01-13,12.8,0.7,0,0,182.14,1.2,96.1,43.9
2019-01-14,14.1,2.0,0,0,101.41,0.75,97.7,51.8
2019-01-15,10.0,1.8,0,0,146.46,0.96,97.9,38.1
2019-01-16,11.0,9.2,0,0,106.03,0.53,96.4,41.4
2019-01-17,14.4,6.3,0,0,129.28,0.76,94.1,42.1
2019-01-18,12.1,23.0,0,0,105.33,1.05,95.3,47.1
2019-01-19,13.0,6.8,0,0,137.53,1.07,96.2,39.8
2019-01-20,14.2,0.2,1,0,100.38,1.12,96.5,45.5
2019-01-21,9.9,2.1,0,0,108.24,1.33,96.7,46.9
2019-01-22,11.5,0.8,0,0,103.37,0.85,96.5,50.9
2019-01-23,13.2,7.6,0,0,112.25,1.07,93.8,39.5
2019-01-24,11.1,0.6,0,0,136.14,1.48,94.7,43.5
2019-01-25,12.4,14.8,0,0,133.31,0.26,98.5,37.2
2019-01-26,13.5,0.3,0,0,113.89,0.75,94.2,38.6
2019-01-27,12.7,3.3,0,0,112.34,0.83,96.4,36.9
2019-01-28,13.4,7.1,0,0,97.0,0.72,95.2,36.8
2019-01-29,13.9,1.0,0,0,82.6,1.18,101.6,40.7
2019-01-30,15.9,1.3,0,0,122.59,0.9,96.3,45.5
2019-01-31,16.4,2.5,0,0,131.45,0.41,96.7,46.4
2019-02-01,13.5,3.8,0,0,130.84,1.32,94.8,49.9
2019-02-02,13.0,4.0,0,0,135.75,0.92,99.1,41.6
2019-02-03,15.6,12.3,0,0,115.82,1.03,98.7,42.8
